year,city,country,avg_temp,city,country,
1743,Munich,Germany,1.32,Munich,Germany,
1744,Munich,Germany,6.09,Munich,Germany,
1745,Munich,Germany,-2.15,Munich,Germany,
1746,Munich,Germany,,Munich,Germany,
1747,Munich,Germany,,Munich,Germany,
1748,Munich,Germany,,Munich,Germany,
1749,Munich,Germany,,Munich,Germany,
1750,Munich,Germany,5.4,Munich,Germany,
1751,Munich,Germany,5.54,Munich,Germany,
1752,Munich,Germany,0.53,Munich,Germany,2.788333333
1753,Munich,Germany,4.61,Munich,Germany,3.336666667
1754,Munich,Germany,4.33,Munich,Germany,3.043333333
1755,Munich,Germany,4.05,Munich,Germany,4.076666667
1756,Munich,Germany,4.64,Munich,Germany,4.157142857
1757,Munich,Germany,4.3,Munich,Germany,4.175
1758,Munich,Germany,3.83,Munich,Germany,4.136666667
1759,Munich,Germany,4.89,Munich,Germany,4.212
1760,Munich,Germany,5.02,Munich,Germany,4.174
1761,Munich,Germany,4.94,Munich,Germany,4.114
1762,Munich,Germany,4.49,Munich,Germany,4.51
1763,Munich,Germany,4.25,Munich,Germany,4.474
1764,Munich,Germany,4.82,Munich,Germany,4.523
1765,Munich,Germany,4.52,Munich,Germany,4.57
1766,Munich,Germany,4.28,Munich,Germany,4.534
1767,Munich,Germany,3.85,Munich,Germany,4.489
1768,Munich,Germany,3.84,Munich,Germany,4.49
1769,Munich,Germany,4.43,Munich,Germany,4.444
1770,Munich,Germany,4.36,Munich,Germany,4.378
1771,Munich,Germany,4.19,Munich,Germany,4.303
1772,Munich,Germany,5.81,Munich,Germany,4.435
1773,Munich,Germany,4.76,Munich,Germany,4.486
1774,Munich,Germany,4.43,Munich,Germany,4.447
1775,Munich,Germany,5.03,Munich,Germany,4.498
1776,Munich,Germany,4.21,Munich,Germany,4.491
1777,Munich,Germany,4.28,Munich,Germany,4.534
1778,Munich,Germany,5.21,Munich,Germany,4.671
1779,Munich,Germany,5.53,Munich,Germany,4.781
1780,Munich,Germany,4.71,Munich,Germany,4.816
1781,Munich,Germany,5.48,Munich,Germany,4.945
1782,Munich,Germany,3.96,Munich,Germany,4.76
1783,Munich,Germany,5.22,Munich,Germany,4.806
1784,Munich,Germany,3.67,Munich,Germany,4.73
1785,Munich,Germany,3.35,Munich,Germany,4.562
1786,Munich,Germany,3.71,Munich,Germany,4.512
1787,Munich,Germany,4.83,Munich,Germany,4.567
1788,Munich,Germany,4.69,Munich,Germany,4.515
1789,Munich,Germany,4.26,Munich,Germany,4.388
1790,Munich,Germany,4.91,Munich,Germany,4.408
1791,Munich,Germany,5.09,Munich,Germany,4.369
1792,Munich,Germany,4.77,Munich,Germany,4.45
1793,Munich,Germany,5.06,Munich,Germany,4.434
1794,Munich,Germany,5.54,Munich,Germany,4.621
1795,Munich,Germany,4.59,Munich,Germany,4.745
1796,Munich,Germany,4.65,Munich,Germany,4.839
1797,Munich,Germany,5.55,Munich,Germany,4.911
1798,Munich,Germany,4.81,Munich,Germany,4.923
1799,Munich,Germany,3.26,Munich,Germany,4.823
1800,Munich,Germany,5.02,Munich,Germany,4.834
1801,Munich,Germany,5.31,Munich,Germany,4.856
1802,Munich,Germany,5.07,Munich,Germany,4.886
1803,Munich,Germany,4.2,Munich,Germany,4.8
1804,Munich,Germany,4.8,Munich,Germany,4.726
1805,Munich,Germany,3.09,Munich,Germany,4.576
1806,Munich,Germany,5.4,Munich,Germany,4.651
1807,Munich,Germany,5.05,Munich,Germany,4.601
1808,Munich,Germany,3.58,Munich,Germany,4.478
1809,Munich,Germany,4.61,Munich,Germany,4.613
1810,Munich,Germany,4.72,Munich,Germany,4.583
1811,Munich,Germany,5.7,Munich,Germany,4.622
1812,Munich,Germany,3.39,Munich,Germany,4.454
1813,Munich,Germany,3.87,Munich,Germany,4.421
1814,Munich,Germany,3.46,Munich,Germany,4.287
1815,Munich,Germany,4.01,Munich,Germany,4.379
1816,Munich,Germany,2.96,Munich,Germany,4.135
1817,Munich,Germany,4.21,Munich,Germany,4.051
1818,Munich,Germany,4.66,Munich,Germany,4.159
1819,Munich,Germany,4.97,Munich,Germany,4.195
1820,Munich,Germany,3.88,Munich,Germany,4.111
1821,Munich,Germany,4.59,Munich,Germany,4
1822,Munich,Germany,5.85,Munich,Germany,4.246
1823,Munich,Germany,4.22,Munich,Germany,4.281
1824,Munich,Germany,4.89,Munich,Germany,4.424
1825,Munich,Germany,5.07,Munich,Germany,4.53
1826,Munich,Germany,4.81,Munich,Germany,4.715
1827,Munich,Germany,4.71,Munich,Germany,4.765
1828,Munich,Germany,5.02,Munich,Germany,4.801
1829,Munich,Germany,2.79,Munich,Germany,4.583
1830,Munich,Germany,3.9,Munich,Germany,4.585
1831,Munich,Germany,4.82,Munich,Germany,4.608
1832,Munich,Germany,4.25,Munich,Germany,4.448
1833,Munich,Germany,4.45,Munich,Germany,4.471
1834,Munich,Germany,5.72,Munich,Germany,4.554
1835,Munich,Germany,4.07,Munich,Germany,4.454
1836,Munich,Germany,4.4,Munich,Germany,4.413
1837,Munich,Germany,3.68,Munich,Germany,4.31
1838,Munich,Germany,3.29,Munich,Germany,4.137
1839,Munich,Germany,4.66,Munich,Germany,4.324
1840,Munich,Germany,3.66,Munich,Germany,4.3
1841,Munich,Germany,5.16,Munich,Germany,4.334
1842,Munich,Germany,4.09,Munich,Germany,4.318
1843,Munich,Germany,4.48,Munich,Germany,4.321
1844,Munich,Germany,4.03,Munich,Germany,4.152
1845,Munich,Germany,3.73,Munich,Germany,4.118
1846,Munich,Germany,5.54,Munich,Germany,4.232
1847,Munich,Germany,3.9,Munich,Germany,4.254
1848,Munich,Germany,4.61,Munich,Germany,4.386
1849,Munich,Germany,4.37,Munich,Germany,4.357
1850,Munich,Germany,3.84,Munich,Germany,4.375
1851,Munich,Germany,3.66,Munich,Germany,4.225
1852,Munich,Germany,5.02,Munich,Germany,4.318
1853,Munich,Germany,3.69,Munich,Germany,4.239
1854,Munich,Germany,4.08,Munich,Germany,4.244
1855,Munich,Germany,3.52,Munich,Germany,4.223
1856,Munich,Germany,4.3,Munich,Germany,4.099
1857,Munich,Germany,4.41,Munich,Germany,4.15
1858,Munich,Germany,3.63,Munich,Germany,4.052
1859,Munich,Germany,5.07,Munich,Germany,4.122
1860,Munich,Germany,3.41,Munich,Germany,4.079
1861,Munich,Germany,4.62,Munich,Germany,4.175
1862,Munich,Germany,5.39,Munich,Germany,4.212
1863,Munich,Germany,5.35,Munich,Germany,4.378
