year,city,country,avg_temp,country,global_temp
1750,Munich,Germany,5.40,Germany,8.72
1751,Munich,Germany,5.54,Germany,7.98
1752,Munich,Germany,0.53,Germany,5.78
1753,Munich,Germany,4.61,Germany,8.39
1754,Munich,Germany,4.33,Germany,8.47
1755,Munich,Germany,4.05,Germany,8.36
1756,Munich,Germany,4.64,Germany,8.85
1757,Munich,Germany,4.30,Germany,9.02
1758,Munich,Germany,3.83,Germany,6.74
1759,Munich,Germany,4.89,Germany,7.99
1760,Munich,Germany,5.02,Germany,7.19
1761,Munich,Germany,4.94,Germany,8.77
1762,Munich,Germany,4.49,Germany,8.61
1763,Munich,Germany,4.25,Germany,7.50
1764,Munich,Germany,4.82,Germany,8.40
1765,Munich,Germany,4.52,Germany,8.25
1766,Munich,Germany,4.28,Germany,8.41
1767,Munich,Germany,3.85,Germany,8.22
1768,Munich,Germany,3.84,Germany,6.78
1769,Munich,Germany,4.43,Germany,7.69
1770,Munich,Germany,4.36,Germany,7.69
1771,Munich,Germany,4.19,Germany,7.85
1772,Munich,Germany,5.81,Germany,8.19
1773,Munich,Germany,4.76,Germany,8.22
1774,Munich,Germany,4.43,Germany,8.77
1775,Munich,Germany,5.03,Germany,9.18
1776,Munich,Germany,4.21,Germany,8.30
1777,Munich,Germany,4.28,Germany,8.26
1778,Munich,Germany,5.21,Germany,8.54
1779,Munich,Germany,5.53,Germany,8.98
1780,Munich,Germany,4.71,Germany,9.43
1781,Munich,Germany,5.48,Germany,8.10
1782,Munich,Germany,3.96,Germany,7.90
1783,Munich,Germany,5.22,Germany,7.68
1784,Munich,Germany,3.67,Germany,7.86
1785,Munich,Germany,3.35,Germany,7.36
1786,Munich,Germany,3.71,Germany,8.26
1787,Munich,Germany,4.83,Germany,8.03
1788,Munich,Germany,4.69,Germany,8.45
1789,Munich,Germany,4.26,Germany,8.33
1790,Munich,Germany,4.91,Germany,7.98
1791,Munich,Germany,5.09,Germany,8.23
1792,Munich,Germany,4.77,Germany,8.09
1793,Munich,Germany,5.06,Germany,8.23
1794,Munich,Germany,5.54,Germany,8.53
1795,Munich,Germany,4.59,Germany,8.35
1796,Munich,Germany,4.65,Germany,8.27
1797,Munich,Germany,5.55,Germany,8.51
1798,Munich,Germany,4.81,Germany,8.67
1799,Munich,Germany,3.26,Germany,8.51
1800,Munich,Germany,5.02,Germany,8.48
1801,Munich,Germany,5.31,Germany,8.59
1802,Munich,Germany,5.07,Germany,8.58
1803,Munich,Germany,4.20,Germany,8.50
1804,Munich,Germany,4.80,Germany,8.84
1805,Munich,Germany,3.09,Germany,8.56
1806,Munich,Germany,5.40,Germany,8.43
1807,Munich,Germany,5.05,Germany,8.28
1808,Munich,Germany,3.58,Germany,7.63
1809,Munich,Germany,4.61,Germany,7.08
1810,Munich,Germany,4.72,Germany,6.92
1811,Munich,Germany,5.70,Germany,6.86
1812,Munich,Germany,3.39,Germany,7.05
1813,Munich,Germany,3.87,Germany,7.74
1814,Munich,Germany,3.46,Germany,7.59
1815,Munich,Germany,4.01,Germany,7.24
1816,Munich,Germany,2.96,Germany,6.94
1817,Munich,Germany,4.21,Germany,6.98
1818,Munich,Germany,4.66,Germany,7.83
1819,Munich,Germany,4.97,Germany,7.37
1820,Munich,Germany,3.88,Germany,7.62
1821,Munich,Germany,4.59,Germany,8.09
1822,Munich,Germany,5.85,Germany,8.19
1823,Munich,Germany,4.22,Germany,7.72
1824,Munich,Germany,4.89,Germany,8.55
1825,Munich,Germany,5.07,Germany,8.39
1826,Munich,Germany,4.81,Germany,8.36
1827,Munich,Germany,4.71,Germany,8.81
1828,Munich,Germany,5.02,Germany,8.17
1829,Munich,Germany,2.79,Germany,7.94
1830,Munich,Germany,3.90,Germany,8.52
1831,Munich,Germany,4.82,Germany,7.64
1832,Munich,Germany,4.25,Germany,7.45
1833,Munich,Germany,4.45,Germany,8.01
1834,Munich,Germany,5.72,Germany,8.15
1835,Munich,Germany,4.07,Germany,7.39
1836,Munich,Germany,4.40,Germany,7.70
1837,Munich,Germany,3.68,Germany,7.38
1838,Munich,Germany,3.29,Germany,7.51
1839,Munich,Germany,4.66,Germany,7.63
1840,Munich,Germany,3.66,Germany,7.80
1841,Munich,Germany,5.16,Germany,7.69
1842,Munich,Germany,4.09,Germany,8.02
1843,Munich,Germany,4.48,Germany,8.17
1844,Munich,Germany,4.03,Germany,7.65
1845,Munich,Germany,3.73,Germany,7.85
1846,Munich,Germany,5.54,Germany,8.55
1847,Munich,Germany,3.90,Germany,8.09
1848,Munich,Germany,4.61,Germany,7.98
1849,Munich,Germany,4.37,Germany,7.98
1850,Munich,Germany,3.84,Germany,7.90
1851,Munich,Germany,3.66,Germany,8.18
1852,Munich,Germany,5.02,Germany,8.10
1853,Munich,Germany,3.69,Germany,8.04
1854,Munich,Germany,4.08,Germany,8.21
1855,Munich,Germany,3.52,Germany,8.11
1856,Munich,Germany,4.30,Germany,8.00
1857,Munich,Germany,4.41,Germany,7.76
1858,Munich,Germany,3.63,Germany,8.10
1859,Munich,Germany,5.07,Germany,8.25
1860,Munich,Germany,3.41,Germany,7.96
1861,Munich,Germany,4.62,Germany,7.85
1862,Munich,Germany,5.39,Germany,7.56
1863,Munich,Germany,5.35,Germany,8.11
1864,Munich,Germany,3.26,Germany,7.98
1865,Munich,Germany,4.75,Germany,8.18
1866,Munich,Germany,5.01,Germany,8.29
1867,Munich,Germany,4.44,Germany,8.44
1868,Munich,Germany,5.54,Germany,8.25
1869,Munich,Germany,4.69,Germany,8.43
1870,Munich,Germany,3.57,Germany,8.20
1871,Munich,Germany,3.53,Germany,8.12
1872,Munich,Germany,5.51,Germany,8.19
1873,Munich,Germany,4.77,Germany,8.35
1874,Munich,Germany,4.18,Germany,8.43
1875,Munich,Germany,3.96,Germany,7.86
1876,Munich,Germany,4.64,Germany,8.08
1877,Munich,Germany,4.79,Germany,8.54
1878,Munich,Germany,4.26,Germany,8.83
1879,Munich,Germany,3.53,Germany,8.17
1880,Munich,Germany,4.74,Germany,8.12
1881,Munich,Germany,4.24,Germany,8.27
1882,Munich,Germany,4.58,Germany,8.13
1883,Munich,Germany,4.16,Germany,7.98
1884,Munich,Germany,4.67,Germany,7.77
1885,Munich,Germany,4.47,Germany,7.92
1886,Munich,Germany,4.61,Germany,7.95
1887,Munich,Germany,3.41,Germany,7.91
1888,Munich,Germany,3.69,Germany,8.09
1889,Munich,Germany,3.72,Germany,8.32
1890,Munich,Germany,3.67,Germany,7.97
1891,Munich,Germany,3.70,Germany,8.02
1892,Munich,Germany,4.45,Germany,8.07
1893,Munich,Germany,4.44,Germany,8.06
1894,Munich,Germany,4.52,Germany,8.16
1895,Munich,Germany,4.00,Germany,8.15
1896,Munich,Germany,3.84,Germany,8.21
1897,Munich,Germany,4.67,Germany,8.29
1898,Munich,Germany,5.13,Germany,8.18
1899,Munich,Germany,4.72,Germany,8.40
1900,Munich,Germany,5.00,Germany,8.50
1901,Munich,Germany,4.01,Germany,8.54
1902,Munich,Germany,4.24,Germany,8.30
1903,Munich,Germany,4.57,Germany,8.22
1904,Munich,Germany,5.07,Germany,8.09
1905,Munich,Germany,4.31,Germany,8.23
1906,Munich,Germany,4.48,Germany,8.38
1907,Munich,Germany,4.38,Germany,7.95
1908,Munich,Germany,3.98,Germany,8.19
1909,Munich,Germany,3.75,Germany,8.18
1910,Munich,Germany,4.47,Germany,8.22
1911,Munich,Germany,5.22,Germany,8.18
1912,Munich,Germany,4.13,Germany,8.17
1913,Munich,Germany,4.66,Germany,8.30
1914,Munich,Germany,4.43,Germany,8.59
1915,Munich,Germany,4.39,Germany,8.59
1916,Munich,Germany,4.90,Germany,8.23
1917,Munich,Germany,3.91,Germany,8.02
1918,Munich,Germany,4.75,Germany,8.13
1919,Munich,Germany,3.85,Germany,8.38
1920,Munich,Germany,5.29,Germany,8.36
1921,Munich,Germany,5.48,Germany,8.57
1922,Munich,Germany,3.93,Germany,8.41
1923,Munich,Germany,4.88,Germany,8.42
1924,Munich,Germany,4.11,Germany,8.51
1925,Munich,Germany,4.42,Germany,8.53
1926,Munich,Germany,5.11,Germany,8.73
1927,Munich,Germany,4.86,Germany,8.52
1928,Munich,Germany,5.19,Germany,8.63
1929,Munich,Germany,4.13,Germany,8.24
1930,Munich,Germany,5.24,Germany,8.63
1931,Munich,Germany,3.88,Germany,8.72
1932,Munich,Germany,4.61,Germany,8.71
1933,Munich,Germany,3.88,Germany,8.34
1934,Munich,Germany,5.59,Germany,8.63
1935,Munich,Germany,4.57,Germany,8.52
1936,Munich,Germany,4.88,Germany,8.55
1937,Munich,Germany,5.20,Germany,8.70
1938,Munich,Germany,4.82,Germany,8.86
1939,Munich,Germany,4.49,Germany,8.76
1940,Munich,Germany,3.45,Germany,8.76
1941,Munich,Germany,3.80,Germany,8.77
1942,Munich,Germany,4.28,Germany,8.73
1943,Munich,Germany,5.56,Germany,8.76
1944,Munich,Germany,4.28,Germany,8.85
1945,Munich,Germany,5.20,Germany,8.58
1946,Munich,Germany,5.14,Germany,8.68
1947,Munich,Germany,5.51,Germany,8.80
1948,Munich,Germany,5.49,Germany,8.75
1949,Munich,Germany,5.55,Germany,8.59
1950,Munich,Germany,5.44,Germany,8.37
1951,Munich,Germany,5.29,Germany,8.63
1952,Munich,Germany,4.67,Germany,8.64
1953,Munich,Germany,5.22,Germany,8.87
1954,Munich,Germany,4.27,Germany,8.56
1955,Munich,Germany,4.39,Germany,8.63
1956,Munich,Germany,3.58,Germany,8.28
1957,Munich,Germany,5.11,Germany,8.73
1958,Munich,Germany,4.93,Germany,8.77
1959,Munich,Germany,5.51,Germany,8.73
1960,Munich,Germany,4.97,Germany,8.58
1961,Munich,Germany,5.85,Germany,8.80
1962,Munich,Germany,3.94,Germany,8.75
1963,Munich,Germany,3.99,Germany,8.86
1964,Munich,Germany,4.92,Germany,8.41
1965,Munich,Germany,4.08,Germany,8.53
1966,Munich,Germany,5.10,Germany,8.60
1967,Munich,Germany,5.18,Germany,8.70
1968,Munich,Germany,4.68,Germany,8.52
1969,Munich,Germany,4.42,Germany,8.60
1970,Munich,Germany,4.41,Germany,8.70
1971,Munich,Germany,4.86,Germany,8.60
1972,Munich,Germany,4.69,Germany,8.50
1973,Munich,Germany,4.57,Germany,8.95
1974,Munich,Germany,5.23,Germany,8.47
1975,Munich,Germany,5.20,Germany,8.74
1976,Munich,Germany,4.95,Germany,8.35
1977,Munich,Germany,5.32,Germany,8.85
1978,Munich,Germany,4.32,Germany,8.69
1979,Munich,Germany,4.87,Germany,8.73
1980,Munich,Germany,4.19,Germany,8.98
1981,Munich,Germany,4.82,Germany,9.17
1982,Munich,Germany,5.51,Germany,8.64
